code,english_name,bangla_name,edible_portion_coefficient,energy_kcal,energy_kj,water_g,protein_g,fat_g,carbohydrate_available_g,total_dietary_fibre_g,ash_g,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mg,vitamin_a_mcg,retinol_mcg,beta_carotene_equiv_mcg,vitamin_d_mcg,vitamin_e_mg,thiamin_mg,riboflavin_mg,niacin_equiv_mg,vitamin_b6_mg,folate_mcg,vitamin_c_mg,source_pages
01_0001,Barley whole-grain ,যবের ছাতু,1,324,1360,11.7,10.9,2.2,56.4,17.3,1.5,26,5.5,133,264,452,4,2.77,0.5,1,0,13,0,0.9,0.47,0.2,7.8,0.318,34,0,"28,29,30"
01_0002,Bread / bun,বনরুটি / বান,1,270,1140,33,8.8,2.8,50.9,2.8,1.7,26,1,22,96,133,501,0.73,0.13,,,,,,,,,,,,"28,29,30"
01_0003,Bread white for toasting,পাউরুটি,1,272,1150,30.4,8,1.4,55.6,2.5,2.1,119,2.2,26,103,131,592,0.68,0.14,0,0,0,0,0.24,0.21,0.34,3.9,0.063,30,0,"28,29,30"
01_0004,Maize/corn flour whole white,ভুট্টা আটা,1,355,1500,10.9,6.9,3.9,69.6,7.3,1.5,7,2.4,93,272,315,5,1.73,0.23,0,0,0,0,0.42,0.25,0.08,2.6,0.37,25,0,"28,29,30"
01_0005,Maize/corn yellow dried ,ভুট্টা শুকনা,1,344,1450,13.1,9.9,3.4,64.7,7.3,1.6,12,2.9,143,329,248,14,3.27,0.43,11,0,129,0,0.49,0.39,0.11,2,0.622,20,0,"28,29,30"
01_0006,Millet Foxtail ,কাওন,1,344,1450,11.8,10.4,4.3,61.7,8.5,3.3,32,2.8,81,290,250,7,1.5,1.4,5,0,60,0,0.05,0.59,0.11,3.2,0.384,85,0,"28,29,30"
01_0007,Millet Proso whole-grain ,চীনা দানা,1,341,1440,12.5,11.2,4.2,60.3,8.5,3.3,14,5,114,285,195,5,2.3,0.75,0,0,0,0,0.05,0.42,0.29,6.7,0.384,85,0,"28,29,30"
01_0008,Pear millet whole-grain ,বাজরা দানা,1,349,1470,12.4,10.1,5,61.4,8.8,2.3,42,8,137,296,307,11,3.1,1.06,0,0,0,0,0.05,0.33,0.16,2.3,0.384,85,0,"28,29,30"
01_0009,Popcorn maize (salt added),পপকর্ন ভুট্টা,1,328,1380,13.7,10,3.1,58.6,12.9,1.6,10,2.8,135,349,294,785,3.7,0.23,7,0,80,0,0.2,0.09,0.07,1.5,0.14,28,0,"28,29,30"
01_0010,Rice flaked,চিরা,1,356,1510,9.9,6.5,1.1,79.2,1.3,2,25,6.8,47,130,150,2,1.36,0.37,,,,,,,,,,,,"28,29,30"
01_0011,Chira veja,চিরা ভেজা,1,105,444,73.2,2,0.3,23,0.9,0.6,8,2,14,39,45,1,0.4,0.11,,,,,,,,,,,,"28,29,30"
01_0012,Rice BR-28 parboiled milled ,বিআর-২৮ সিদ্ধ চাল,1,344,1454,12.4,6.5,0.4,76.8,3.4,0.5,9,0.7,43,126,146,2,1.32,0.2,0,0,0,0,0.11,0.21,0.05,4.6,0.168,11,0,"28,29,30"
01_0013,Rice BR-11 parboiled milled,বিআর-১১ সিদ্ধ চাল,1,345,1460,11.9,7.9,0.3,76.1,3.4,0.4,1,0.7,43,127,146,2,1.32,0.2,0,0,0,0,0.07,0.06,0.04,0.8,0.169,11,0,"31,32,33"
01_0014,Rice BR-16 parboiled milled ,বিআর-১৬ সিদ্ধ চাল,1,346,1470,11.8,6.2,0.3,77.9,3.4,0.5,2,0.7,43,127,147,2,1.33,0.2,0,0,0,0,0.08,0.1,0.03,1.8,0.148,11,0,"31,32,33"
01_0015,Rice BR-26 parboiled milled ,বিআর-২৬ সিদ্ধ চাল,1,346,1470,11.7,8.4,0.4,75.5,3.4,0.6,2,0.7,43,127,147,2,1.33,0.2,0,0,0,0,0.11,0.09,0.03,1.7,0.171,11,0,"31,32,33"
01_0016,Rice BR-3 parboiled milled ,বিআর-৩ সিদ্ধ চাল,1,344,1460,12,7.1,0.2,76.8,3.4,0.5,2,0.7,43,126,146,2,1.32,0.2,-3,0,0,0,0,0.04,0.02,0.6,0.169,11,0,"31,32,33"
01_0017,Rice BRRI Dhan-30 parboiled milled raw,বিআরআরআই ধান-৩০ সিদ্ধ চাল,1,349,1480,10.9,6.9,0.3,77.9,3.4,0.6,2,0.7,44,128,148,2,1.34,0.2,0,0,0,0,0.08,0.11,0.06,1.8,0.169,11,0,"31,32,33"
01_0018,Rice BRRI Dhan-40 parboiled milled raw,বিআরআরআই ধান-৪০ সিদ্ধ চাল,1,349,1480,10.8,7,0.3,77.9,3.4,0.6,2,0.7,44,128,148,2,1.34,0.2,0,0,0,0,0.08,0.09,0.06,1.2,0.172,11,0,"31,32,33"
01_0019,Rice bran ,চালের কুঁড়া,1,398,1660,6.1,13.4,20.9,28.6,21,10,59,18.5,994,1379,1155,5,6.04,0.73,0,0,0,0,4.92,2.26,0.22,41.8,4.07,63,0,"31,32,33"
01_0020,Chal siddha dhekichata,ঢেকিছাটা সিদ্ধ চাল ,1,348,1480,12.6,7.6,2.3,72.4,3.8,1.3,10,2.8,52,246,202,5,1.9,0.36,,,,,,,,,,,,"31,32,33"
01_0021,Chal lal siddha kolechata,কোলেছাটা সিদ্ধ চাল,1,350,1480,12.4,7.8,2.4,72.3,3.8,1.3,12,1,52,255,326,5,1.9,0.36,0,0,0,0,0.68,0.27,0.07,6.8,0.62,49,0,"31,32,33"
01_0022,Rice popped,খই,1,380,1620,3.9,7.1,0.1,87,1.4,0.4,10,0.7,47,138,160,5,0.87,0.21,0,0,0,0,0.1,0.21,0.27,3.5,0,12,0,"31,32,33"
01_0023,Rice puffed salted,মুড়ি,1,361,1540,7.3,6.7,0.1,82.7,1.4,1.8,9,0.7,45,133,154,650,0.84,0.2,,,,,,,,,,,,"31,32,33"
01_0024,Rice white sunned aromatic milled ,সুগন্ধি আতপ চাল ,1,343,1460,12.8,6.7,0.7,76.1,3.1,0.7,10,0.9,43,126,113,5,1.09,0.14,,,,,,,,,,,,"31,32,33"
01_0025,Rice white sunned polished ,পলিশড আতপ চাল  ,1,345,1460,12.2,6.6,0.3,77.4,3.1,0.4,5,0.9,43,126,109,5,1.09,0.14,,,,,,,,,,,,"34,35,36"
01_0026,Semolina wheat ,সুজি,1,346,1470,12.8,10.9,1.4,70.6,3.9,0.5,17,1.1,40,105,158,5,2.18,0.25,0,0,0,0,0.1,0.18,0.05,4,0.085,57,0,"34,35,36"
01_0027,Sorghum ,জোয়ার,1,350,1480,11.9,10.1,3.3,66.9,6.3,1.5,25,5.8,290,222,350,6,1.6,0.46,,,,,,,,,,,,"34,35,36"
01_0028,Sweet corn yellow on the cob ,কাঁচা ভুট্টা,0.47,147,621,62.9,3.5,1.4,28.7,2.8,0.8,5,0.7,30,112,228,2,0.8,0.13,,,,,,,,,,,,"34,35,36"
01_0029,Vermicelli wheat ,সেমাই,1,347,1470,11.7,8.9,0.6,74.9,3.2,0.7,22,2,42,92,140,8,1.38,0.29,0,0,0,0,0.11,0.19,0.05,3.4,0.142,18,0,"34,35,36"
01_0030,Wheat flour brown whole grain,সাদা আটা ,1,334,1410,12.3,11.3,2.1,62.2,10.7,1.5,52,4.9,151,306,284,16,3.02,0.53,,,,,,,,,,,,"34,35,36"
01_0031,Wheat flour white,সাদা প্যাকেট আটা,1,347,1470,12.2,10.6,1.6,70.3,4.4,0.8,13,3.8,58,140,210,10,1.55,0.19,0,0,0,0,0.43,0.13,0.05,4,0.099,20,0,"34,35,36"
01_0032,Wheat flour white refined,ময়দা,1,346,1470,12.8,9.8,1,73.1,2.7,0.6,13,2.7,58,140,210,10,1.55,0.19,0,0,0,0,0.06,0.12,0.07,4,0.044,20,0,"34,35,36"
01_0033,Wheat whole ,গম,1,344,1450,10,11.2,2.9,62,12.2,1.6,41,4.9,142,316,293,18,2.79,0.7,0,0,5,0,1.9,0.49,0.12,5.5,0.3,38,0,"34,35,36"
01_0034,Biscuit sweet,বিস্কুট,1,344,1450,24.3,5.8,10,56.7,2.4,0.8,83,2.1,32,131,116,83,0.87,0.13,0,0,0,0,0.93,0.05,0.03,1,0.049,7,0,"28,29,30"
01_0035,Plain Khichuri,খিচুড়ি,1,163,683,65.7,5.1,7.4,17.7,2.5,1.6,13,1.1,19,54,92,410,0.69,0.12,24,21,27,0.1,0.13,0.08,0.02,0.3,0.041,4,0.2,"28,29,30"
01_0036,Plain pulao,পোলাও,1,128,539,69.7,2.2,2.3,24.1,1.1,0.6,6,0,16,39,27,167,0.34,0.05,0,0,0,0,0.1,0.01,0.01,0.3,0.004,2,0.1,"28,29,30"
01_0037,Boiled (without salt) Rice (BR-28),বিআর-২৮ এর বসা ভাত,1,109,464,71.2,2.1,0.1,24.3,1.1,0.2,6,0.3,16,39,39,3,0.41,0.07,0,0,0,0,0.04,0.03,0.01,1.1,0.028,3,0,"31,32,33"
01_0038,Boiled rice (dhekichata),ভাত (ঢেকিছাটা),1,112,473,72,2.4,0.7,23.2,1.2,0.4,6,1,18,75,52,4,0.58,0.12,0,0,0,0,0.22,0.04,0.02,1.6,0.1,11,0,"31,32,33"
01_0039,Boiled red rice (kolechata),ভাত (কোলেছাটা),1,112,475,71.9,2.5,0.8,23.2,1.2,0.4,7,0.4,18,78,84,4,0.58,0.12,0,0,0,0,0.22,0.04,0.02,1.6,0.1,11,0,"31,32,33"
01_0040,Boiled (Atop) aromatic Rice,পান্তা ভাত,1,110,467,72,2.2,0.2,24.4,1,0.2,6,0.4,15,38,20,3,0.33,0.04,,,,,,,,,,,,"31,32,33"
01_0041,Boiled white sunned polished rice,বসা ভাত (আতপ ),1,111,469,71.9,2.1,0.1,24.8,1,0.1,5,0.4,15,38,19,4,0.33,0.04,,,,,,,,,,,,"34,35,36"
01_0042,Roti,রুটি,1,246,1040,37.3,7.5,1.2,49.7,3.1,1.1,11,2.7,42,99,149,231,1.1,0.13,0,0,0,0,0.3,0.07,0.04,1.3,0.063,7,0,"34,35,36"
01_0043,Boiled vermicelli,সেমাই সিদ্ধ,1,151,640,61.6,3.9,0.3,32.6,1.4,0.3,11,0.9,19,38,49,4,0.57,0.13,,,,,,,,,,,,"34,35,36"
02_0001,Cholar Dal ,ছোলার ডাল ,1,375,1580,10.5,20.2,6,59.2,1.2,2.8,56,8.8,110,331,725,39,3.34,1.34,3,0,40,0,2.88,0.48,0.27,2.4,0.535,148,0,"42,43,44"
02_0002,Bengal gram whole dried ,ছোলা শুকনা,1,350,1470,8.9,20.4,6,44.8,17.4,2.6,203,8.8,130,368,716,33,2.68,1.23,3,0,40,0,2.88,0.3,0.27,4.9,0.535,186,0,"42,43,44"
02_0003,Black gram dehulled dried ,মাষকালাই ডাল আস্ত,1,317,1340,11.3,22.3,1.7,45.1,16.3,3.3,184,5.9,189,337,1121,33,2.31,1.07,2,0,24,0,1.9,0.42,0.26,5.9,0.28,140,0,"42,43,44"
02_0004,Black gram split dried ,মাষকালাই ডাল ভাঙ্গা,1,350,1490,10.5,22.6,1.2,61.8,0.9,3,53,3.3,142,385,790,35,2.45,1.08,5,0,56,0,1.9,0.42,0.18,2,0.28,132,0,"42,43,44"
02_0005,Green gram split dried ,মুগ ডাল ভাঙ্গা,1,351,1490,9.8,23.7,1.2,60.9,0.7,3.7,69,7.2,147,315,1300,30,2.73,1.66,3,0,39,0,1.9,0.36,0.14,6.6,0.5,140,0,"42,43,44"
02_0006,Green gram whole dried ,মুগকালাই,1,318,1340,10.4,23.7,1.3,44.8,16.3,3.5,137,7.9,189,326,1780,28,2.68,1.17,3,0,39,0,1.9,0.47,0.39,6.6,0.5,140,0,"42,43,44"
02_0007,Grass pea split dried ,খেসারি ডাল ভাঙ্গা,1,352,1490,9.4,28.4,0.9,56.5,2.2,2.6,61,5.3,101,374,813,35,3.38,1.08,5,0,60,0,0.5,0.37,0.21,2.9,0.348,207,0,"42,43,44"
02_0008,Lentil dried ,মসুর ডাল,1,317,1340,12.2,27.7,0.8,43.2,13.2,2.9,23,5.1,72,261,635,37,3.89,0.79,3,0,34,0,0.37,0.77,0.13,6.3,0.336,36,0,"42,43,44"
02_0009,Pea dried ,মটর,1,327,1380,11.7,22.1,2.1,48.3,13,2.8,75,4.8,102,298,709,21,3.49,1.29,3,0,39,0,1.04,0.47,0.13,5.5,0.075,33,0,"42,43,44"
02_0010,Red gram split dried ,অড়হর ডাল,1,347,1470,10.8,22.3,1.5,60.4,1.5,3.5,55,2.7,96,304,1100,29,2.1,1.2,3,0,30,0,0.83,0.45,0.19,2.9,0.283,103,0,"42,43,44"
02_0011,Soybean dried ,সয়াবিন,1,424,1770,9.2,32.9,19.9,23.6,9.3,5,241,11.3,207,691,1530,5,5.7,1.25,1,0,13,0,2.9,0.73,0.5,7.9,0.417,100,0,"42,43,44"
02_0012,Boiled (without salt) Bengal gram,ছোলা (সিদ্ধ),1,182,766,52.5,10.6,3.1,23.3,9.1,1.3,94,4,59,172,280,16,1.26,0.45,2,0,21,0,1.35,0.1,0.1,1.7,0.195,48,0,"42,43,44"
02_0013,Boiled (without salt) green gram,মুগ ডাল (সিদ্ধ),1,161,685,58.5,10.9,0.5,28.1,0.3,1.7,30,2.9,59,131,448,13,1.13,0.54,1,0,18,0,0.8,0.11,0.05,2,0.2,32,0,"42,43,44"
02_0014,Boiled (without salt) grass pea,খেসারি ডাল (সিদ্ধ),1,142,602,63.5,11.4,0.4,22.8,0.9,1,24,1.9,36,136,246,13,1.23,0.31,2,0,24,0,0.2,0.1,0.06,0.8,0.098,42,0,"42,43,44"
02_0015,Boiled (without salt) lentil,মসুর ডাল (সিদ্ধ),1,155,657,56.9,13.6,0.4,21.2,6.5,1.4,12,2.2,31,115,234,16,1.72,0.27,1,0,17,0,0.16,0.24,0.05,2,0.115,9,0,"42,43,44"
02_0016,Boiled (without salt) pea,মটর (সিদ্ধ) ,1,170,718,54,11.5,1.1,25.2,6.8,1.4,37,2.3,47,140,277,12,1.64,0.47,2,0,20,0,0.49,0.16,0.05,1.9,0.027,9,0,"42,43,44"
03_0001,Amaranth stem ,ডাঁটা,0.73,21,91,92.3,0.9,0.1,3.7,1.2,1.8,,,,,,,,,,,,,,,,,,,,"50,51,52"
03_0002,Bean scarlet runner,শিম ,0.59,54,228,85,3.9,0.1,8.3,2,0.7,44,1.1,25,34,220,0,0.48,0.02,32,0,384,0,0.06,0.05,0.01,0,0.08,60,8.7,"50,51,52"
03_0003,Bean seeds and pods ,শিমের বিচি,0.91,29,122,90,2.4,0.1,2.5,4.3,0.6,70,0.9,51,49,170,10,0.37,0.6,19,0,227,0,0.51,0.08,0.09,0.5,0.063,62,9.6,"50,51,52"
03_0004,Beet root red ,বিট,0.85,46,194,85.8,2,0.1,7.9,2.8,1.4,15,1,23,40,325,78,0.35,0.08,1,0,7,0,0.08,0.03,0.06,0.4,0.067,109,14.5,"50,51,52"
03_0005,Brinjal purple long ,লম্বা বেগুন,0.94,24,100,91.4,1.9,0.1,2,4.1,0.7,21,0.4,24,47,178,8,0.57,0.68,4,0,45,0,0.1,0.03,0.07,0.9,0.079,34,1.3,"50,51,52"
03_0007,Cabbage ,বাঁধাকপি,0.88,24,101,92.7,1.5,0.3,2.6,2.5,0.4,30,0.5,15,30,170,8,0.4,0.02,5,0,59,0,0.2,0.06,0.05,0.6,0.156,43,16.1,"50,51,52"
03_0008,Carrot ,গাজর,0.83,34,147,89.7,0.9,0.3,6,2.6,0.6,26,0.4,16,35,145,54,0.07,0.23,329,0,6280,0,0.55,0.04,0.09,1.1,0.133,15,1.4,"50,51,52"
03_0009,Cauliflower ,ফুলকপি,0.45,27,113,91.8,2.6,0.3,2.5,2,0.8,33,0.8,22,44,299,20,0.41,0.03,1,0,8,0,0.22,0.03,0.03,1.1,0.184,57,72.7,"50,51,52"
03_0010,Chilli green with seeds ,কাঁচা মরিচ,0.91,45,189,85.5,2.8,0.1,5.9,4.7,1,22,1.6,43,30,282,12,1.97,0.87,10,0,115,0,0.29,0.03,0.05,1.3,0.23,10,102.3,"50,51,52"
03_0011,Cowpea pods and seeds,বরবটি,0.9,39,160,87,3,0.4,2.8,6,0.8,54,0.5,51,53,431,23,1.01,0.13,,,,,,,,,,,,"50,51,52"
03_0012,Cucumber peeled ,শসা,0.83,17,72,95.1,0.8,0.1,2.9,0.7,0.4,13,0.6,12,17,105,2,0.17,0.05,4,0,44,0,0.07,0.16,0.02,0.3,0.051,14,7.2,"50,51,52"
03_0013,Drumstick pods,সজনা ডাঁটা,0.63,43,181,85.2,2.9,0.2,5.1,4.8,1.9,24,0.2,28,110,259,42,0.16,0.01,,,,,,,,,,,,"53,54,55"
03_0014,Garlic ,রসুন,0.84,147,623,61.6,6.9,0.6,27.6,2.1,1.3,25,1.6,25,162,511,11,1.08,0.18,0,0,0,0,0.08,0.13,0.12,2.4,1.235,4,24.1,"53,54,55"
03_0015,Gourd ash ,চালকুমড়া,0.67,10,41,96.5,0.4,0.1,1,1.7,0.3,30,0.8,17,14,139,39,0.1,0.02,,,,,,,,,,,,"53,54,55"
03_0016,Gourd bitter ,করলা,0.95,31,129,90.4,2.1,0.3,3.6,2.6,1.1,16,1.8,31,20,182,36,0.35,0.27,,,,,,,,,,,,"53,54,55"
03_0017,Gourd bottle ,লাউ,0.87,34,142,90.8,1.1,0.1,6.8,0.6,0.6,26,0.7,11,53,150,39,0.58,0.16,,,,,,,,,,,,"53,54,55"
03_0018,Gourd pointed ,পটল,0.95,24,102,92.6,2,0.3,2.2,2.2,0.5,16,1.7,15,18,148,28,0.4,0.17,,,,,,,,,,,,"53,54,55"
03_0019,Gourd ridge ,ঝিঙ্গা,0.82,29,121,92.4,1.3,0.4,4.6,1.1,0.3,21,1.3,14,32,139,39,0.5,0.23,2,0,26,0,0.1,0.11,0.03,0.5,0.043,7,4.6,"53,54,55"
03_0020,Gourd snake ,চিচিঙ্গা,0.98,24,103,93.4,0.5,0.3,4.5,0.8,0.5,31,0.4,17,28,155,39,0.32,0.18,,,,,,,,,,,,"53,54,55"
03_0021,Gourd sponge ,ধুন্দুল (পুরল),0.94,24,102,92.9,0.9,0.2,4.3,1.1,0.7,19,0.6,14,32,139,39,0.5,0.23,,,,,,,,,,,,"53,54,55"
03_0022,Gourd teasle ,কাকরোল,0.85,61,259,83.7,1.9,0.5,11.8,1.1,1.1,27,2.6,20,26,186,52,0.48,0.1,14,0,163,0,0.23,0.08,0.06,0.8,0.043,16,142.8,"53,54,55"
03_0023,Okra/ladies finger ,ঢেঁড়স,0.84,39,164,87.7,2.1,0.2,5.7,3.1,1.1,93,0.9,20,28,178,37,0.34,0.08,19,0,227,0,0.27,0.04,0.16,1.4,0.215,60,17.5,"53,54,55"
03_0024,Onion ,পেঁয়াজ,0.87,59,249,83.7,1.4,0.1,12.2,1.9,0.7,24,0.9,24,29,210,11,0.41,0.36,2,0,23,0,0.02,0.05,0.14,0.3,0.168,19,4.5,"53,54,55"
03_0025,Papaya unripe ,কাঁচা পেঁপে,0.66,30,125,90.6,0.8,0.1,5.7,1.5,1.3,15,0.6,56,15,129,7,0.22,0.02,,,,,,,,,,,,"56,57,58"
03_0026,Peas ,মটরশুঁটি,0.53,91,384,74.3,7,0.4,12.5,5.1,0.9,43,1.6,47,108,244,5,1.24,0.18,38,0,455,0,0.13,0.4,0.14,2.8,0.169,65,7.6,"56,57,58"
03_0027,Plantain ,কাঁচা কলা,0.58,77,327,78.9,2,0.3,15.5,2.3,1,22,0.6,28,21,242,4,0.14,0.08,56,0,676,0,0.14,0.09,0.06,0.9,0.299,22,7.3,"56,57,58"
03_0028,Pumpkin ,মিষ্টিকুমড়া,0.79,18,77,93.9,1.4,0.3,1.3,2.4,0.7,52,0.7,10,16,349,8,0.11,0.21,369,0,4430,0,1.06,0.07,0.06,0.8,0.061,16,21.1,"56,57,58"
03_0029,Radish ,মুলা,0.99,18,74,94.3,0.9,0.1,2.5,1.6,0.6,24,0.4,15,23,142,40,0.38,0.03,0,0,0,0,0,0.43,0,0.5,0.071,25,17.3,"56,57,58"
03_0030,Tomato green ,কাঁচা টমেটো,0.98,23,96,93.3,1.9,0.2,2.5,1.7,0.4,16,0.3,7,28,156,7,0.19,0.3,,,,,,,,,,,,"56,57,58"
03_0031,Tomato red ripe ,পাকা টমেটো,1,16,66,95,1.1,0.2,1.4,1.7,0.5,13,0.2,7,24,156,7,0.41,0.97,9,0,104,0,0.54,0.04,0.04,0.6,0.049,15,12.3,"56,57,58"
03_0032,Turnip ,শালগম,0.74,26,110,92.1,1.1,0.2,4.1,1.8,0.7,32,0.4,10,34,236,41,0.52,0.05,0,0,0,0,0.03,0.04,0.02,0.6,0.09,15,24.7,"56,57,58"
03_0033,brinjal,বেগুন,1,26,109,90.6,2.1,0.1,2.1,4.4,0.7,24,0.4,21,47,132,8,0.52,0.63,4,0,47,0,0.11,0.02,0.06,0.7,0.06,20,1,"50,51,52"
03_0034,cabbage,বাঁধাকপি ,1,27,115,91.7,1.7,0.4,2.9,2.8,0.5,35,0.5,12,31,97,9,0.34,0.03,5,0,60,0,0.23,0.04,0.04,0.4,0.115,24,7.3,"50,51,52"
03_0035,carrot,গাজর সিদ্ধ,1,43,181,87.3,1.1,0.3,7.3,3.1,0.7,34,0.5,14,39,81,40,0.07,0.26,364,0,6960,0,0.68,0.04,0.07,1,0.115,9,0.7,"50,51,52"
03_0036,cauliflower,ফুলকপি ,1,28,119,91.4,2.7,0.3,2.7,2.1,0.8,36,0.8,20,42,214,18,0.37,0.02,1,0,8,0,0.22,0.02,0.02,0.7,0.135,32,46.6,"50,51,52"
03_0037,cowpea,বরবটি ,1,40,167,86.5,3.1,0.4,3,6.3,0.8,54,0.5,43,50,306,20,0.9,0.12,,,,,,,,,,,,"50,51,52"
03_0038,pointed gourd,পটল ,1,28,116,91.6,2.3,0.4,2.5,2.5,0.6,20,1.7,15,18,115,26,0.39,0.17,,,,,,,,,,,,"53,54,55"
03_0039,teasle gourd,কাকরোল,1,69,294,81.5,2.2,0.5,13.4,1.3,1.2,31,2.6,19,27,144,46,0.46,0.1,15,0,178,0,0.26,0.06,0.05,0.6,0.034,10,99,"53,54,55"
03_0041,unripe papaya,কাঁচা পেঁপে ,1,32,134,89.9,0.8,0.1,6.1,1.6,1.4,17,0.6,48,15,94,8,0.2,0.02,,,,,,,,,,,,"56,57,58"
03_0042,plantain,কাঁচা কলা,1,76,320,79.3,1.9,0.3,15.2,2.3,1,22,0.6,23,18,161,5,0.12,0.07,53,0,636,0,0.13,0.06,0.04,0.6,0.205,12,4.3,"56,57,58"
03_0043,pumpkin,মিষ্টিকুমড়া,1,29,120,90.4,2.2,0.5,2.1,3.8,1.1,79,1.1,14,23,371,13,0.14,0.28,554,0,6640,0,1.61,0.08,0.07,0.8,0.067,14,20.1,"56,57,58"
03_0044,Radish,মুলা ,1,24,99,92.4,1.2,0.1,3.3,2.1,0.8,35,0.5,14,28,86,33,0.38,0.04,0,0,0,0,0,0.4,0,0.4,0.066,17,9.2,"56,57,58"
03_0045,red ripe tomato,পাকা টমেটো ,1,30,124,90.6,2.1,0.5,2.7,3.1,1,24,0.4,12,41,200,11,0.66,1.55,16,0,187,0,0.98,0.05,0.05,0.7,0.064,15,14.1,"56,57,58"
03_0046,Lady's finger-tomato fry ,ঢেঁড়স-টমেটো ভুনা,1,127,526,72.1,3.4,7.4,9,5,3.1,128,1.4,31,50,319,565,0.67,0.53,26,0,299,0,0.81,0.06,0.22,1.5,0.297,60,24.5,"53,54,55"
03_0047,Boiled bitter gourd,করলা সিদ্ধ ,1,35,147,89,2.3,0.4,4.1,3,1.2,20,1.8,29,20,141,33,0.34,0.26,,,,,,,,,,,,"53,54,55"
