code,name_en,name_bn,name_original,food_group_en,food_group_bn,food_group_code,energy_kcal,protein_g,fat_g,carbohydrate_g,fiber_g,water_g,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,vitamin_a_mcg,vitamin_c_mg,vitamin_d_mcg,folate_mcg,edible_portion,is_raw,is_cooked,is_recipe,is_partial
01_0001,"Barley, whole-grain, raw","Jaab, gota","Barley, whole-grain, raw Jaab, gota",Cereals,শস্যদানা,01,324.0,10.9,2.2,56.4,17.3,11.7,26.0,5.5,133.0,264.0,452.0,4.0,2.77,1.0,0.0,0.0,34.0,1.0,True,False,False,False
01_0002,"Bread, bun/roll Bonruti, bun/roll","Bread, bun/roll Bonruti, bun/roll","Bread, bun/roll Bonruti, bun/roll",Cereals,শস্যদানা,01,270.0,8.8,2.8,50.9,2.8,33.0,26.0,1.0,22.0,96.0,133.0,501.0,0.73,,,,,1.0,False,False,False,False
01_0003,"Bread, white, for toasting Pawruti","Bread, white, for toasting Pawruti","Bread, white, for toasting Pawruti",Cereals,শস্যদানা,01,272.0,8.0,1.4,55.6,2.5,30.4,119.0,2.2,26.0,103.0,131.0,592.0,0.68,0.0,0.0,0.0,30.0,1.0,False,False,False,False
01_0004,"Maize/corn flour, whole, white Bhutta, atta","Maize/corn flour, whole, white Bhutta, atta","Maize/corn flour, whole, white Bhutta, atta",Cereals,শস্যদানা,01,355.0,6.9,3.9,69.6,7.3,10.9,7.0,2.4,93.0,272.0,315.0,5.0,1.73,0.0,0.0,0.0,25.0,1.0,False,False,False,False
01_0005,"Maize/corn, yellow, dried, raw","Bhutta, shukna","Maize/corn, yellow, dried, raw Bhutta, shukna",Cereals,শস্যদানা,01,344.0,9.9,3.4,64.7,7.3,13.1,12.0,2.9,143.0,329.0,248.0,14.0,3.27,11.0,0.0,0.0,20.0,1.0,True,False,False,False
01_0006,"Millet, Foxtail, raw",Kaon,"Millet, Foxtail, raw Kaon",Cereals,শস্যদানা,01,344.0,10.4,4.3,61.7,8.5,11.8,32.0,2.8,81.0,290.0,250.0,7.0,1.5,5.0,0.0,0.0,85.0,1.0,True,False,False,False
01_0007,"Millet, Proso, whole-grain, raw","Cheena, gota-dana","Millet, Proso, whole-grain, raw Cheena, gota-dana",Cereals,শস্যদানা,01,341.0,11.2,4.2,60.3,8.5,12.5,14.0,5.0,114.0,285.0,195.0,5.0,2.3,0.0,0.0,0.0,85.0,1.0,True,False,False,False
01_0008,"Pear millet, whole-grain, raw","Bajra, gota-dana","Pear millet, whole-grain, raw Bajra, gota-dana",Cereals,শস্যদানা,01,349.0,10.1,5.0,61.4,8.8,12.4,42.0,8.0,137.0,296.0,307.0,11.0,3.1,0.0,0.0,0.0,85.0,1.0,True,False,False,False
01_0009,"Popcorn, maize (salt added) Popcorn, Bhutta","Popcorn, maize (salt added) Popcorn, Bhutta","Popcorn, maize (salt added) Popcorn, Bhutta",Cereals,শস্যদানা,01,328.0,10.0,3.1,58.6,12.9,13.7,10.0,2.8,135.0,349.0,294.0,785.0,3.7,7.0,0.0,0.0,28.0,1.0,False,False,False,False
01_0010,Rice flaked Chira,Rice flaked Chira,Rice flaked Chira,Cereals,শস্যদানা,01,356.0,6.5,1.1,79.2,1.3,9.9,25.0,6.8,47.0,130.0,150.0,2.0,1.36,,,,,1.0,False,False,False,False
01_0011,"Chira, veja","Chira, veja","Chira, veja",Cereals,শস্যদানা,01,105.0,2.0,0.3,23.0,0.9,73.2,8.0,2.0,14.0,39.0,45.0,1.0,0.4,,,,,1.0,False,False,False,False
01_0012,"Rice, BR-28, parboiled, milled, raw",,"Rice, BR-28, parboiled, milled, raw",Cereals,শস্যদানা,01,344.0,6.5,0.4,76.8,3.4,12.4,9.0,0.7,43.0,126.0,146.0,2.0,1.32,0.0,0.0,0.0,11.0,1.0,False,True,False,False
01_0013,"Rice, BR-11, parboiled, milled, Chal, BR-11, siddha,",,"Rice, BR-11, parboiled, milled, Chal, BR-11, siddha,",Cereals,শস্যদানা,01,345.0,7.9,0.3,76.1,3.4,11.9,1.0,0.7,43.0,127.0,146.0,2.0,1.32,0.0,0.0,0.0,11.0,1.0,False,True,False,False
01_0014,"raw kolechata Rice, BR-16, parboiled, milled, Chal, BR-16, siddha,",,"raw kolechata Rice, BR-16, parboiled, milled, Chal, BR-16, siddha,",Cereals,শস্যদানা,01,346.0,6.2,0.3,77.9,3.4,11.8,2.0,0.7,43.0,127.0,147.0,2.0,1.33,0.0,0.0,0.0,11.0,1.0,False,True,False,False
01_0015,"raw kolechata Rice, BR-26, parboiled, milled, Chal, BR-26, siddha,",,"raw kolechata Rice, BR-26, parboiled, milled, Chal, BR-26, siddha,",Cereals,শস্যদানা,01,346.0,8.4,0.4,75.5,3.4,11.7,2.0,0.7,43.0,127.0,147.0,2.0,1.33,0.0,0.0,0.0,11.0,1.0,False,True,False,False
01_0016,"Rice, BR-3, parboiled, milled, raw",,"Rice, BR-3, parboiled, milled, raw",Cereals,শস্যদানা,01,344.0,7.1,0.2,76.8,3.4,12.0,2.0,0.7,43.0,126.0,146.0,2.0,1.32,0.0,0.0,0.0,11.0,1.0,False,True,False,False
01_0017,"kolechata Rice, BRRI Dhan-30, parboiled, Chal, BRRI Dhan-30,",,"kolechata Rice, BRRI Dhan-30, parboiled, Chal, BRRI Dhan-30,",Cereals,শস্যদানা,01,349.0,6.9,0.3,77.9,3.4,10.9,2.0,0.7,44.0,128.0,148.0,2.0,1.34,0.0,0.0,0.0,11.0,1.0,False,True,False,False
01_0018,"Rice, BRRI Dhan-40, parboiled, milled, raw","চাল, বিআরআরআই ধান-৪০, সিদ্ধ, কলেছাটা","milled, raw siddha, kole chata Rice, BRRI Dhan-40, parboiled, Chal, BRRI Dhan-40,",Cereals,শস্যদানা,01,349.0,7.0,0.3,77.9,3.4,10.8,2.0,0.7,44.0,128.0,148.0,2.0,1.34,0.0,0.0,0.0,11.0,1.0,False,True,False,False
01_0019,"Rice, bran, raw",Chaler kura,"Rice, bran, raw Chaler kura",Cereals,শস্যদানা,01,398.0,13.4,20.9,28.6,21.0,6.1,59.0,18.5,994.0,1379.0,1155.0,5.0,6.04,0.0,0.0,0.0,63.0,1.0,True,False,False,False
01_0020,"Chal, siddha, dhekichata","Chal, siddha, dhekichata","Chal, siddha, dhekichata",Cereals,শস্যদানা,01,348.0,7.6,2.3,72.4,3.8,12.6,10.0,2.8,52.0,246.0,202.0,5.0,1.9,,,,,1.0,False,True,False,False
01_0021,"Chal, lal, siddha, kolechata","Chal, lal, siddha, kolechata","Chal, lal, siddha, kolechata",Cereals,শস্যদানা,01,350.0,7.8,2.4,72.3,3.8,12.4,12.0,1.0,52.0,255.0,326.0,5.0,1.9,0.0,0.0,0.0,49.0,1.0,False,True,False,False
01_0022,"Rice, popped Khoi","Rice, popped Khoi","Rice, popped Khoi",Cereals,শস্যদানা,01,380.0,7.1,0.1,87.0,1.4,3.9,10.0,0.7,47.0,138.0,160.0,5.0,0.87,0.0,0.0,0.0,12.0,1.0,False,False,False,False
01_0023,"Rice, puffed, salted Muri","Rice, puffed, salted Muri","Rice, puffed, salted Muri",Cereals,শস্যদানা,01,361.0,6.7,0.1,82.7,1.4,7.3,9.0,0.7,45.0,133.0,154.0,650.0,0.84,,,,,1.0,False,False,False,False
01_0024,"Rice, white, sunned, aromatic, Chal, atop, sugondhi,","Rice, white, sunned, aromatic, Chal, atop, sugondhi,","Rice, white, sunned, aromatic, Chal, atop, sugondhi,",Cereals,শস্যদানা,01,343.0,6.7,0.7,76.1,3.1,12.8,10.0,0.9,43.0,126.0,113.0,5.0,1.09,,,,,1.0,False,False,False,False
01_0025,"milled, raw raw",,"milled, raw raw",Cereals,শস্যদানা,01,345.0,6.6,0.3,77.4,3.1,12.2,5.0,0.9,43.0,126.0,109.0,5.0,1.09,,,,,1.0,True,False,False,False
01_0026,"Semolina, wheat, raw","Sooji, gom","Semolina, wheat, raw Sooji, gom",Cereals,শস্যদানা,01,346.0,10.9,1.4,70.6,3.9,12.8,17.0,1.1,40.0,105.0,158.0,5.0,2.18,0.0,0.0,0.0,57.0,1.0,True,False,False,False
01_0027,"Sorghum, raw",Jowar,"Sorghum, raw Jowar",Cereals,শস্যদানা,01,350.0,10.1,3.3,66.9,6.3,11.9,25.0,5.8,290.0,222.0,350.0,6.0,1.6,,,,,1.0,True,False,False,False
01_0028,"Sweet corn, yellow, on the cob, raw","Bhutta, kancha","Sweet corn, yellow, on the cob, raw Bhutta, kancha",Cereals,শস্যদানা,01,147.0,3.5,1.4,28.7,2.8,62.9,5.0,0.7,30.0,112.0,228.0,2.0,0.8,,,,,0.47,True,False,False,False
01_0029,"Vermicelli, wheat, raw",Semai,"Vermicelli, wheat, raw Semai",Cereals,শস্যদানা,01,347.0,8.9,0.6,74.9,3.2,11.7,22.0,2.0,42.0,92.0,140.0,8.0,1.38,0.0,0.0,0.0,18.0,1.0,True,False,False,False
01_0030,"Wheat flour, brown, whole grain, Ata, sada","Wheat flour, brown, whole grain, Ata, sada","Wheat flour, brown, whole grain, Ata, sada",Cereals,শস্যদানা,01,334.0,11.3,2.1,62.2,10.7,12.3,52.0,4.9,151.0,306.0,284.0,16.0,3.02,,,,,1.0,False,False,False,False
01_0031,"Wheat, flour, white Ata, sada, packet","Wheat, flour, white Ata, sada, packet","Wheat, flour, white Ata, sada, packet",Cereals,শস্যদানা,01,347.0,10.6,1.6,70.3,4.4,12.2,13.0,3.8,58.0,140.0,210.0,10.0,1.55,0.0,0.0,0.0,20.0,1.0,False,False,False,False
01_0032,"Wheat flour, white, refined Maida","Wheat flour, white, refined Maida","Wheat flour, white, refined Maida",Cereals,শস্যদানা,01,346.0,9.8,1.0,73.1,2.7,12.8,13.0,2.7,58.0,140.0,210.0,10.0,1.55,0.0,0.0,0.0,20.0,1.0,False,False,False,False
01_0033,"Wheat, whole, raw",Gom,"Wheat, whole, raw Gom",Cereals,শস্যদানা,01,344.0,11.2,2.9,62.0,12.2,10.0,41.0,4.9,142.0,316.0,293.0,18.0,2.79,0.0,0.0,0.0,38.0,1.0,True,False,False,False
01_0034,"Biscuit, sweet* Misti biscuit","Biscuit, sweet* Misti biscuit","Biscuit, sweet* Misti biscuit",Cereals,শস্যদানা,01,344.0,5.8,10.0,56.7,2.4,24.3,83.0,2.1,32.0,131.0,116.0,83.0,0.87,0.0,0.0,0.0,7.0,1.0,False,False,True,False
01_0035,Plain Khichuri* Khichuri,Plain Khichuri* Khichuri,Plain Khichuri* Khichuri,Cereals,শস্যদানা,01,163.0,5.1,7.4,17.7,2.5,65.7,13.0,1.1,19.0,54.0,92.0,410.0,0.69,24.0,0.2,0.1,4.0,1.0,False,False,True,False
01_0036,Plain pulao* Plain pulao,Plain pulao* Plain pulao,Plain pulao* Plain pulao,Cereals,শস্যদানা,01,128.0,2.2,2.3,24.1,1.1,69.7,6.0,0.0,16.0,39.0,27.0,167.0,0.34,0.0,0.1,0.0,2.0,1.0,False,False,True,False
01_0037,"Rice, BR-28, boiled* (without salt)","Bhat, BR-28, bosa bhat","Rice, BR-28, boiled* (without salt) Bhat, BR-28, bosa bhat",Cereals,শস্যদানা,01,109.0,2.1,0.1,24.3,1.1,71.2,6.0,0.3,16.0,39.0,39.0,3.0,0.41,0.0,0.0,0.0,3.0,1.0,False,True,True,False
01_0038,"Bhat, siddha, dhekichata","Bhat, siddha, dhekichata","Bhat, siddha, dhekichata",Cereals,শস্যদানা,01,112.0,2.4,0.7,23.2,1.2,72.0,6.0,1.0,18.0,75.0,52.0,4.0,0.58,0.0,0.0,0.0,11.0,1.0,False,True,False,False
01_0039,"Bhat, lal, siddha, kolechata","Bhat, lal, siddha, kolechata","Bhat, lal, siddha, kolechata",Cereals,শস্যদানা,01,112.0,2.5,0.8,23.2,1.2,71.9,7.0,0.4,18.0,78.0,84.0,4.0,0.58,0.0,0.0,0.0,11.0,1.0,False,True,False,False
01_0040,"Bhat, Sugondhi, bosa bhat","Bhat, Sugondhi, bosa bhat","Bhat, Sugondhi, bosa bhat",Cereals,শস্যদানা,01,110.0,2.2,0.2,24.4,1.0,72.0,6.0,0.4,15.0,38.0,20.0,3.0,0.33,,,,,1.0,False,False,False,False
01_0041,"Rice, white, sunned, polished, Bhat, Atop, bosa bhat","Rice, white, sunned, polished, Bhat, Atop, bosa bhat","Rice, white, sunned, polished, Bhat, Atop, bosa bhat",Cereals,শস্যদানা,01,111.0,2.1,0.1,24.8,1.0,71.9,5.0,0.4,15.0,38.0,19.0,4.0,0.33,,,,,1.0,False,False,False,False
01_0042,Ruti* Ruti,Ruti* Ruti,Ruti* Ruti,Cereals,শস্যদানা,01,246.0,7.5,1.2,49.7,3.1,37.3,11.0,2.7,42.0,99.0,149.0,231.0,1.1,0.0,0.0,0.0,7.0,1.0,False,False,True,False
01_0043,"Vermicelli, boiled* (without salt)",Semai siddha,"Vermicelli, boiled* (without salt) Semai siddha",Cereals,শস্যদানা,01,151.0,3.9,0.3,32.6,1.4,61.6,11.0,0.9,19.0,38.0,49.0,4.0,0.57,,,,,1.0,False,True,True,False
02_0001,"Cholar dal, vanga","Cholar dal, vanga","Cholar dal, vanga",Pulses & Legumes,ডাল ও শিম,02,375.0,20.2,6.0,59.2,1.2,10.5,56.0,8.8,110.0,331.0,725.0,39.0,3.34,3.0,0.0,0.0,148.0,1.0,False,False,False,False
02_0002,"Bengal gram, whole, dried, raw","Chola, shukna","Bengal gram, whole, dried, raw Chola, shukna",Pulses & Legumes,ডাল ও শিম,02,350.0,20.4,6.0,44.8,17.4,8.9,203.0,8.8,130.0,368.0,716.0,33.0,2.68,3.0,0.0,0.0,186.0,1.0,True,False,False,False
02_0003,"Black gram, dehulled, dried, raw","Mashkalai dal, asto","Black gram, dehulled, dried, raw Mashkalai dal, asto",Pulses & Legumes,ডাল ও শিম,02,317.0,22.3,1.7,45.1,16.3,11.3,184.0,5.9,189.0,337.0,1121.0,33.0,2.31,2.0,0.0,0.0,140.0,1.0,True,False,False,False
02_0004,"Black gram, split, dried, raw","Maskalai dal, vanga","Black gram, split, dried, raw Maskalai dal, vanga",Pulses & Legumes,ডাল ও শিম,02,350.0,22.6,1.2,61.8,0.9,10.5,53.0,3.3,142.0,385.0,790.0,35.0,2.45,5.0,0.0,0.0,132.0,1.0,True,False,False,False
02_0005,"Green gram, split, dried, raw","Mung dal, vanga","Green gram, split, dried, raw Mung dal, vanga",Pulses & Legumes,ডাল ও শিম,02,351.0,23.7,1.2,60.9,0.7,9.8,69.0,7.2,147.0,315.0,1300.0,30.0,2.73,3.0,0.0,0.0,140.0,1.0,True,False,False,False
02_0006,"Green gram, whole, dried, raw",Mungkalai,"Green gram, whole, dried, raw Mungkalai",Pulses & Legumes,ডাল ও শিম,02,318.0,23.7,1.3,44.8,16.3,10.4,137.0,7.9,189.0,326.0,1780.0,28.0,2.68,3.0,0.0,0.0,140.0,1.0,True,False,False,False
02_0007,"Grass pea, split, dried, raw","Khesari dal, vanga","Grass pea, split, dried, raw Khesari dal, vanga",Pulses & Legumes,ডাল ও শিম,02,352.0,28.4,0.9,56.5,2.2,9.4,61.0,5.3,101.0,374.0,813.0,35.0,3.38,5.0,0.0,0.0,207.0,1.0,True,False,False,False
02_0008,"Lentil, dried, raw",Mosur dal,"Lentil, dried, raw Mosur dal",Pulses & Legumes,ডাল ও শিম,02,317.0,27.7,0.8,43.2,13.2,12.2,23.0,5.1,72.0,261.0,635.0,37.0,3.89,3.0,0.0,0.0,36.0,1.0,True,False,False,False
02_0009,"Pea, dried, raw",Motor,"Pea, dried, raw Motor",Pulses & Legumes,ডাল ও শিম,02,327.0,22.1,2.1,48.3,13.0,11.7,75.0,4.8,102.0,298.0,709.0,21.0,3.49,3.0,0.0,0.0,33.0,1.0,True,False,False,False
02_0010,"Red gram, split, dried, raw",Arhar dal,"Red gram, split, dried, raw Arhar dal",Pulses & Legumes,ডাল ও শিম,02,347.0,22.3,1.5,60.4,1.5,10.8,55.0,2.7,96.0,304.0,1100.0,29.0,2.1,3.0,0.0,0.0,103.0,1.0,True,False,False,False
02_0011,"Soybean, dried, raw",Gari kalai/Soyabean,"Soybean, dried, raw Gari kalai/Soyabean",Pulses & Legumes,ডাল ও শিম,02,424.0,32.9,19.9,23.6,9.3,9.2,241.0,11.3,207.0,691.0,1530.0,5.0,5.7,1.0,0.0,0.0,100.0,1.0,True,False,False,False
02_0012,"Chola siddha, lobon chara","Chola siddha, lobon chara","Chola siddha, lobon chara",Pulses & Legumes,ডাল ও শিম,02,182.0,10.6,3.1,23.3,9.1,52.5,94.0,4.0,59.0,172.0,280.0,16.0,1.26,2.0,0.0,0.0,48.0,1.0,False,True,False,False
02_0013,"Mung dal siddha, lobon chara","Mung dal siddha, lobon chara","Mung dal siddha, lobon chara",Pulses & Legumes,ডাল ও শিম,02,161.0,10.9,0.5,28.1,0.3,58.5,30.0,2.9,59.0,131.0,448.0,13.0,1.13,1.0,0.0,0.0,32.0,1.0,False,True,False,False
02_0014,"Grass pea, split, boiled* (without Khesari dal siddha, lobon",,"Grass pea, split, boiled* (without Khesari dal siddha, lobon",Pulses & Legumes,ডাল ও শিম,02,142.0,11.4,0.4,22.8,0.9,63.5,24.0,1.9,36.0,136.0,246.0,13.0,1.23,2.0,0.0,0.0,42.0,1.0,False,True,True,False
02_0015,"Lentil, boiled* (without salt)","Mosur dal siddha, lobon chara","Lentil, boiled* (without salt) Mosur dal siddha, lobon chara",Pulses & Legumes,ডাল ও শিম,02,155.0,13.6,0.4,21.2,6.5,56.9,12.0,2.2,31.0,115.0,234.0,16.0,1.72,1.0,0.0,0.0,9.0,1.0,False,True,True,False
02_0016,"Pea, boiled* (without salt)","Motor siddha, lobon chara","Pea, boiled* (without salt) Motor siddha, lobon chara",Pulses & Legumes,ডাল ও শিম,02,170.0,11.5,1.1,25.2,6.8,54.0,37.0,2.3,47.0,140.0,277.0,12.0,1.64,2.0,0.0,0.0,9.0,1.0,False,True,True,False
03_0001,"Amaranth, stem, raw",Data,"Amaranth, stem, raw Data",Vegetables,সবজি,03,21.0,0.9,0.1,3.7,1.2,92.3,,,,,,,,,,,,0.73,True,False,False,False
03_0002,"Bean, scarlet runner, raw",Shim,"Bean, scarlet runner, raw Shim",Vegetables,সবজি,03,54.0,3.9,0.1,8.3,2.0,85.0,44.0,1.1,25.0,34.0,220.0,0.0,0.48,32.0,8.7,0.0,60.0,0.59,True,False,False,False
03_0003,"Bean, seeds and pods, raw",Shim,"Bean, seeds and pods, raw Shim",Vegetables,সবজি,03,29.0,2.4,0.1,2.5,4.3,90.0,70.0,0.9,51.0,49.0,170.0,10.0,0.37,19.0,9.6,0.0,62.0,0.91,True,False,False,False
03_0004,"Beet root, red, raw",Beet,"Beet root, red, raw Beet",Vegetables,সবজি,03,46.0,2.0,0.1,7.9,2.8,85.8,15.0,1.0,23.0,40.0,325.0,78.0,0.35,1.0,14.5,0.0,109.0,0.85,True,False,False,False
03_0005,"Brinjal, purple, long, raw","Begun, kalo, lomba","Brinjal, purple, long, raw Begun, kalo, lomba",Vegetables,সবজি,03,24.0,1.9,0.1,2.0,4.1,91.4,21.0,0.4,24.0,47.0,178.0,8.0,0.57,4.0,1.3,0.0,34.0,0.94,True,False,False,False
03_0006,"Broad beans, raw",Makhon shim,"Broad beans, raw Makhon shim",Vegetables,সবজি,03,50.0,4.5,0.6,4.5,4.2,85.4,50.0,1.4,38.0,95.0,250.0,50.0,0.58,8.0,9.0,0.0,96.0,0.88,True,False,False,False
03_0007,"Cabbage, raw",Badhakopi,"Cabbage, raw Badhakopi",Vegetables,সবজি,03,24.0,1.5,0.3,2.6,2.5,92.7,30.0,0.5,15.0,30.0,170.0,8.0,0.4,5.0,16.1,0.0,43.0,0.88,True,False,False,False
03_0008,"Carrot, raw",Gajor,"Carrot, raw Gajor",Vegetables,সবজি,03,34.0,0.9,0.3,6.0,2.6,89.7,26.0,0.4,16.0,35.0,145.0,54.0,0.07,329.0,1.4,0.0,15.0,0.83,True,False,False,False
03_0009,"Cauliflower, raw",Fulkopi,"Cauliflower, raw Fulkopi",Vegetables,সবজি,03,27.0,2.6,0.3,2.5,2.0,91.8,33.0,0.8,22.0,44.0,299.0,20.0,0.41,1.0,72.7,0.0,57.0,0.45,True,False,False,False
03_0010,"Chilli, green, with seeds, raw",Kancha morich,"Chilli, green, with seeds, raw Kancha morich",Vegetables,সবজি,03,45.0,2.8,0.1,5.9,4.7,85.5,22.0,1.6,43.0,30.0,282.0,12.0,1.97,10.0,102.3,0.0,10.0,0.91,True,False,False,False
03_0011,"Cowpea, pods and seeds, raw",Borboti,"Cowpea, pods and seeds, raw Borboti",Vegetables,সবজি,03,39.0,3.0,0.4,2.8,6.0,87.0,54.0,0.5,51.0,53.0,431.0,23.0,1.01,,,,,0.9,True,False,False,False
03_0012,"Cucumber, peeled, raw",Shosa,"Cucumber, peeled, raw Shosa",Vegetables,সবজি,03,17.0,0.8,0.1,2.9,0.7,95.1,13.0,0.6,12.0,17.0,105.0,2.0,0.17,4.0,7.2,0.0,14.0,0.83,True,False,False,False
03_0013,"Drumstick, pods, raw",Sajna data,"Drumstick, pods, raw Sajna data",Vegetables,সবজি,03,43.0,2.9,0.2,5.1,4.8,85.2,24.0,0.2,28.0,110.0,259.0,42.0,0.16,,,,,0.63,True,False,False,False
03_0014,"Garlic, raw",Rosun,"Garlic, raw Rosun",Vegetables,সবজি,03,147.0,6.9,0.6,27.6,2.1,61.6,25.0,1.6,25.0,162.0,511.0,11.0,1.08,0.0,24.1,0.0,4.0,0.84,True,False,False,False
03_0015,"Gourd, ash, raw",Chalkumra,"Gourd, ash, raw Chalkumra",Vegetables,সবজি,03,10.0,0.4,0.1,1.0,1.7,96.5,30.0,0.8,17.0,14.0,139.0,39.0,0.1,,,,,0.67,True,False,False,False
03_0016,"Gourd, bitter, raw",Korola,"Gourd, bitter, raw Korola",Vegetables,সবজি,03,31.0,2.1,0.3,3.6,2.6,90.4,16.0,1.8,31.0,20.0,182.0,36.0,0.35,,,,,0.95,True,False,False,False
03_0017,"Gourd, bottle, raw",Lau,"Gourd, bottle, raw Lau",Vegetables,সবজি,03,34.0,1.1,0.1,6.8,0.6,90.8,26.0,0.7,11.0,53.0,150.0,39.0,0.58,,,,,0.87,True,False,False,False
03_0018,"Gourd, pointed, raw",Potol,"Gourd, pointed, raw Potol",Vegetables,সবজি,03,24.0,2.0,0.3,2.2,2.2,92.6,16.0,1.7,15.0,18.0,148.0,28.0,0.4,,,,,0.95,True,False,False,False
03_0019,"Gourd, ridge, raw",Jhinga,"Gourd, ridge, raw Jhinga",Vegetables,সবজি,03,29.0,1.3,0.4,4.6,1.1,92.4,21.0,1.3,14.0,32.0,139.0,39.0,0.5,2.0,4.6,0.0,7.0,0.82,True,False,False,False
03_0020,"Gourd, snake, raw",Chichinga,"Gourd, snake, raw Chichinga",Vegetables,সবজি,03,24.0,0.5,0.3,4.5,0.8,93.4,31.0,0.4,17.0,28.0,155.0,39.0,0.32,,,,,0.98,True,False,False,False
03_0021,"Gourd, sponge, raw",Dhundul,"Gourd, sponge, raw Dhundul",Vegetables,সবজি,03,24.0,0.9,0.2,4.3,1.1,92.9,19.0,0.6,14.0,32.0,139.0,39.0,0.5,,,,,0.94,True,False,False,False
03_0022,"Gourd, teasle, raw",Kakrol,"Gourd, teasle, raw Kakrol",Vegetables,সবজি,03,61.0,1.9,0.5,11.8,1.1,83.7,27.0,2.6,20.0,26.0,186.0,52.0,0.48,14.0,142.8,0.0,16.0,0.85,True,False,False,False
03_0023,"Okra/ladies finger, raw",Dheros,"Okra/ladies finger, raw Dheros",Vegetables,সবজি,03,39.0,2.1,0.2,5.7,3.1,87.7,93.0,0.9,20.0,28.0,178.0,37.0,0.34,19.0,17.5,0.0,60.0,0.84,True,False,False,False
03_0024,"Onion, raw",Piaj,"Onion, raw Piaj",Vegetables,সবজি,03,59.0,1.4,0.1,12.2,1.9,83.7,24.0,0.9,24.0,29.0,210.0,11.0,0.41,2.0,4.5,0.0,19.0,0.87,True,False,False,False
03_0025,"Papaya, unripe, raw",Kancha pepe,"Papaya, unripe, raw Kancha pepe",Vegetables,সবজি,03,30.0,0.8,0.1,5.7,1.5,90.6,15.0,0.6,56.0,15.0,129.0,7.0,0.22,,,,,0.66,True,False,False,False
03_0026,"Peas, raw",Motorshuti,"Peas, raw Motorshuti",Vegetables,সবজি,03,91.0,7.0,0.4,12.5,5.1,74.3,43.0,1.6,47.0,108.0,244.0,5.0,1.24,38.0,7.6,0.0,65.0,0.53,True,False,False,False
03_0027,"Plantain, raw",Kancha kola,"Plantain, raw Kancha kola",Vegetables,সবজি,03,77.0,2.0,0.3,15.5,2.3,78.9,22.0,0.6,28.0,21.0,242.0,4.0,0.14,56.0,7.3,0.0,22.0,0.58,True,False,False,False
03_0028,"Pumpkin, raw",Mistikumra,"Pumpkin, raw Mistikumra",Vegetables,সবজি,03,18.0,1.4,0.3,1.3,2.4,93.9,52.0,0.7,10.0,16.0,349.0,8.0,0.11,369.0,21.1,0.0,16.0,0.79,True,False,False,False
03_0029,"Radish, raw",Mula,"Radish, raw Mula",Vegetables,সবজি,03,18.0,0.9,0.1,2.5,1.6,94.3,24.0,0.4,15.0,23.0,142.0,40.0,0.38,0.0,17.3,0.0,25.0,0.99,True,False,False,False
03_0030,"Tomato, green, raw",Kancha tomato,"Tomato, green, raw Kancha tomato",Vegetables,সবজি,03,23.0,1.9,0.2,2.5,1.7,93.3,16.0,0.3,7.0,28.0,156.0,7.0,0.19,,,,,0.98,True,False,False,False
03_0031,"Tomato, red, ripe, raw",Paka tomato,"Tomato, red, ripe, raw Paka tomato",Vegetables,সবজি,03,16.0,1.1,0.2,1.4,1.7,95.0,13.0,0.2,7.0,24.0,156.0,7.0,0.41,9.0,12.3,0.0,15.0,1.0,True,False,False,False
03_0032,"Turnip, raw",Shalgom,"Turnip, raw Shalgom",Vegetables,সবজি,03,26.0,1.1,0.2,4.1,1.8,92.1,32.0,0.4,10.0,34.0,236.0,41.0,0.52,0.0,24.7,0.0,15.0,0.74,True,False,False,False
03_0033,"Begun siddha, lobon chara","Begun siddha, lobon chara","Begun siddha, lobon chara",Vegetables,সবজি,03,26.0,2.1,0.1,2.1,4.4,90.6,24.0,0.4,21.0,47.0,132.0,8.0,0.52,4.0,1.0,0.0,20.0,1.0,False,True,False,False
03_0034,"Cabbage, boiled* (without salt)",,"Cabbage, boiled* (without salt)",Vegetables,সবজি,03,27.0,1.7,0.4,2.9,2.8,91.7,35.0,0.5,12.0,31.0,97.0,9.0,0.34,5.0,7.3,0.0,24.0,1.0,False,True,True,False
